nationbuilder_id,first_name,last_name,email,mobile_number,primary_address1,primary_address2,primary_city,primary_zip,gender,age_bracket,geo_bucket,edu_level
p0,first_name0,last_name0,email0,mobile_number0,primary_address10,primary_address20,primary_city0,primary_zip0,Male,30-44,South Scotland,Level 4 and above
p1,first_name1,last_name1,email1,mobile_number1,primary_address11,primary_address21,primary_city1,primary_zip1,Female,16-29,Lothian,Level 1
p2,first_name2,last_name2,email2,mobile_number2,primary_address12,primary_address22,primary_city2,primary_zip2,Female,45-59,West Scotland,Level 2 or 3
p3,first_name3,last_name3,email3,mobile_number3,primary_address13,primary_address23,primary_city3,primary_zip3,Male,30-44,Glasgow,Level 4 and above
p4,first_name4,last_name4,email4,mobile_number4,primary_address14,primary_address24,primary_city4,primary_zip4,Female,45-59,South Scotland,Level 1
p5,first_name5,last_name5,email5,mobile_number5,primary_address15,primary_address25,primary_city5,primary_zip5,Male,16-29,Mid Scotland and Fife,Level 2 or 3
p6,first_name6,last_name6,email6,mobile_number6,primary_address16,primary_address26,primary_city6,primary_zip6,Female,30-44,Lothian,Level 1
p7,first_name7,last_name7,email7,mobile_number7,primary_address17,primary_address27,primary_city7,primary_zip7,Male,30-44,Mid Scotland and Fife,Level 4 and above
p8,first_name8,last_name8,email8,mobile_number8,primary_address18,primary_address28,primary_city8,primary_zip8,Female,45-59,Mid Scotland and Fife,Level 1
p9,first_name9,last_name9,email9,mobile_number9,primary_address19,primary_address29,primary_city9,primary_zip9,Male,60+,North East Scotland,Level 1
p10,first_name10,last_name10,email10,mobile_number10,primary_address110,primary_address210,primary_city10,primary_zip10,Male,45-59,Mid Scotland and Fife,Level 4 and above
p11,first_name11,last_name11,email11,mobile_number11,primary_address111,primary_address211,primary_city11,primary_zip11,Male,16-29,Central Scotland,Level 2 or 3
p12,first_name12,last_name12,email12,mobile_number12,primary_address112,primary_address212,primary_city12,primary_zip12,Male,45-59,Mid Scotland and Fife,No qualifications
p13,first_name13,last_name13,email13,mobile_number13,primary_address113,primary_address213,primary_city13,primary_zip13,Male,16-29,Highlands and Islands,No qualifications
p14,first_name14,last_name14,email14,mobile_number14,primary_address114,primary_address214,primary_city14,primary_zip14,Female,60+,Lothian,Level 1
p15,first_name15,last_name15,email15,mobile_number15,primary_address115,primary_address215,primary_city15,primary_zip15,Female,45-59,Mid Scotland and Fife,Level 1
p16,first_name16,last_name16,email16,mobile_number16,primary_address116,primary_address216,primary_city16,primary_zip16,Male,16-29,North East Scotland,Level 1
p17,first_name17,last_name17,email17,mobile_number17,primary_address117,primary_address217,primary_city17,primary_zip17,Female,45-59,Lothian,No qualifications
p18,first_name18,last_name18,email18,mobile_number18,primary_address118,primary_address218,primary_city18,primary_zip18,Female,45-59,Mid Scotland and Fife,Level 2 or 3
p19,first_name19,last_name19,email19,mobile_number19,primary_address119,primary_address219,primary_city19,primary_zip19,Female,16-29,Glasgow,Level 4 and above
p20,first_name20,last_name20,email20,mobile_number20,primary_address120,primary_address220,primary_city20,primary_zip20,Male,60+,Highlands and Islands,No qualifications
p21,first_name21,last_name21,email21,mobile_number21,primary_address121,primary_address221,primary_city21,primary_zip21,Female,30-44,West Scotland,Level 2 or 3
p22,first_name22,last_name22,email22,mobile_number22,primary_address122,primary_address222,primary_city22,primary_zip22,Female,16-29,North East Scotland,Level 2 or 3
p23,first_name23,last_name23,email23,mobile_number23,primary_address123,primary_address223,primary_city23,primary_zip23,Female,16-29,Highlands and Islands,Level 1
p24,first_name24,last_name24,email24,mobile_number24,primary_address124,primary_address224,primary_city24,primary_zip24,Male,30-44,Glasgow,Level 4 and above
p25,first_name25,last_name25,email25,mobile_number25,primary_address125,primary_address225,primary_city25,primary_zip25,Female,45-59,Highlands and Islands,No qualifications
p26,first_name26,last_name26,email26,mobile_number26,primary_address126,primary_address226,primary_city26,primary_zip26,Male,45-59,South Scotland,Level 4 and above
p27,first_name27,last_name27,email27,mobile_number27,primary_address127,primary_address227,primary_city27,primary_zip27,Male,16-29,Glasgow,Level 4 and above
p28,first_name28,last_name28,email28,mobile_number28,primary_address128,primary_address228,primary_city28,primary_zip28,Male,16-29,Mid Scotland and Fife,No qualifications
p29,first_name29,last_name29,email29,mobile_number29,primary_address129,primary_address229,primary_city29,primary_zip29,Male,60+,North East Scotland,Level 4 and above
p30,first_name30,last_name30,email30,mobile_number30,primary_address130,primary_address230,primary_city30,primary_zip30,Female,60+,North East Scotland,Level 1
p31,first_name31,last_name31,email31,mobile_number31,primary_address131,primary_address231,primary_city31,primary_zip31,Female,60+,Glasgow,Level 4 and above
p32,first_name32,last_name32,email32,mobile_number32,primary_address132,primary_address232,primary_city32,primary_zip32,Male,60+,Highlands and Islands,Level 4 and above
p33,first_name33,last_name33,email33,mobile_number33,primary_address133,primary_address233,primary_city33,primary_zip33,Male,16-29,West Scotland,Level 2 or 3
p34,first_name34,last_name34,email34,mobile_number34,primary_address134,primary_address234,primary_city34,primary_zip34,Male,60+,Mid Scotland and Fife,No qualifications
p35,first_name35,last_name35,email35,mobile_number35,primary_address135,primary_address235,primary_city35,primary_zip35,Female,60+,North East Scotland,Level 4 and above
p36,first_name36,last_name36,email36,mobile_number36,primary_address136,primary_address236,primary_city36,primary_zip36,Male,60+,North East Scotland,Level 1
p37,first_name37,last_name37,email37,mobile_number37,primary_address137,primary_address237,primary_city37,primary_zip37,Male,30-44,Mid Scotland and Fife,No qualifications
p38,first_name38,last_name38,email38,mobile_number38,primary_address138,primary_address238,primary_city38,primary_zip38,Female,60+,South Scotland,Level 1
p39,first_name39,last_name39,email39,mobile_number39,primary_address139,primary_address239,primary_city39,primary_zip39,Female,45-59,Highlands and Islands,Level 1
